,Mini Robo Advisors Ultra Conserative Portfolio,Mini Robo Advisors Conserative Portfolio,Mini Robo Advisors Balanced Income Portfolio,Mini Robo Advisors Balanced Growth Portfolio,Mini Robo Advisors Moderate Growth Portfolio,Mini Robo Advisors Aggressive Portfolio,Mini Robo Advisors Ultra Aggressive Portfolio
25000,25079.375,25165.25,25314.55,26256,25787.475,25995.1,26252.475
25000,25071.2,25167.025,25327.075,26234.175,25769.05,26002.625,26194.275
25000,25077.925,25184.55,25333.275,26235.8,25725.95,26000.525,26228.325
25000,25083.05,25181.9,25370.175,26232.825,25739.825,25956.5,26231.85
25000,25081.925,25170.6,25358.4,26242.6,25788.725,25958.175,26299.15
25000,25085.4,25144.375,25365.9,26225.65,25771.95,25864.65,26338.85
25000,25093.275,25172.85,25380.3,26237.75,25832.6,25819,26310.55
25000,25108.275,25196.55,25343.475,26266.55,25793.325,25793.55,26435.55
25000,25093.725,25211.575,25345.75,26289.275,25845.675,25827.675,26449.65
25000,25099.275,25234.725,25368.575,26187.575,25801.525,25903.525,26522.625
25000,25093.45,25246.025,25375.675,26206.2,25811.7,25891.475,26443.6
25000,25096.325,25236.45,25432.475,26234.075,25796.3,25858.875,26423.125
25000,25106,25262.4,25441.9,26250.475,25753.175,25908.275,26452.775
25000,25113.875,25252.275,25465.525,26310.6,25778.525,25928.775,26364.775
25000,25132.25,25248.025,25464.35,26355.4,25851.55,25960.45,26268.325
25000,25132.35,25250.325,25496.575,26457.1,25875.275,25988.925,26281.675
25000,25133.8,25256.6,25493.95,26509.025,25829.25,26007.325,26203.05
25000,25136.425,25273.05,25497.25,26518.4,25809.15,25988.425,26333.125
25000,25141.625,25258.45,25473.575,26537.4,25836.975,26071.4,26327.45
25000,25153.275,25245.175,25512.65,26498.575,25837.7,26046.9,26406.8
25000,25156.05,25251.025,25549.7,26542.825,25849.075,26119.45,26438.725
25000,25142.275,25288.925,25549.525,26532.225,25821.675,26084.2,26496.675
25000,25136.7,25281.175,25595.975,26600.675,25874.35,26141.45,26490.6
25000,25154.075,25305.125,25643.3,26610.55,25903.075,26183.225,26493.8
