1745.55,3491.1,6982.2,34911,69822
1774.525,3549.05,7098.1,35490.5,70981
1808.925,3617.85,7235.7,36178.5,72357
1812.125,3624.25,7248.5,36242.5,72485
1861.175,3722.35,7444.7,37223.5,74447
1874.8,3749.6,7499.2,37496,74992
1844.175,3688.35,7376.7,36883.5,73767
1899.225,3798.45,7596.9,37984.5,75969
1851.275,3702.55,7405.1,37025.5,74051
1919.5,3839,7678,38390,76780
2056.375,4112.75,8225.5,41127.5,82255
2003.15,4006.3,8012.6,40063,80126
1928.25,3856.5,7713,38565,77130
1969,3938,7876,39380,78760
2017.225,4034.45,8068.9,40344.5,80689
2100.25,4200.5,8401,42005,84010
2206.875,4413.75,8827.5,44137.5,88275
2262.2,4524.4,9048.8,45244,90488
2276.375,4552.75,9105.5,45527.5,91055
2355.45,4710.9,9421.8,47109,94218
2368.975,4737.95,9475.9,47379.5,94759
2342.9,4685.8,9371.6,46858,93716
2388.925,4777.85,9555.7,47778.5,95557
2476.8,4953.6,9907.2,49536,99072
2468.775,4937.55,9875.1,49375.5,98751
2554.1,5108.2,10216.4,51082,102164
2538.15,5076.3,10152.6,50763,101526
2411.55,4823.1,9646.2,48231,96462
2435.875,4871.75,9743.5,48717.5,97435
2509.675,5019.35,10038.7,50193.5,100387
2421.725,4843.45,9686.9,48434.5,96869
2549.2,5098.4,10196.8,50984,101968
2579.625,5159.25,10318.5,51592.5,103185
2562.75,5125.5,10251,51255,102510
2492.175,4984.35,9968.7,49843.5,99687
2502.9,5005.8,10011.6,50058,100116
2624.425,5248.85,10497.7,52488.5,104977
2714.525,5429.05,10858.1,54290.5,108581
2655.225,5310.45,10620.9,53104.5,106209
2732.575,5465.15,10930.3,54651.5,109303
2740.9,5481.8,10963.6,54818,109636
2744.4,5488.8,10977.6,54888,109776
2821.875,5643.75,11287.5,56437.5,112875
2793.35,5586.7,11173.4,55867,111734
2747.25,5494.5,10989,54945,109890
2835.975,5671.95,11343.9,56719.5,113439
2880.325,5760.65,11521.3,57606.5,115213
2830.525,5661.05,11322.1,56610.5,113221
2803.325,5606.65,11213.3,56066.5,112133
2886.15,5772.3,11544.6,57723,115446
2880.65,5761.3,11522.6,57613,115226
2948.15,5896.3,11792.6,58963,117926
3025.7,6051.4,12102.8,60514,121028
3022.4,6044.8,12089.6,60448,120896
2975.125,5950.25,11900.5,59502.5,119005
3012.75,6025.5,12051,60255,120510
3003.175,6006.35,12012.7,60063.5,120127
2933.025,5866.05,11732.1,58660.5,117321
2851.725,5703.45,11406.9,57034.5,114069
2875.925,5751.85,11503.7,57518.5,115037
2880.15,5760.3,11520.6,57603,115206
2922.775,5845.55,11691.1,58455.5,116911
2873.75,5747.5,11495,57475,114950
2853.35,5706.7,11413.4,57067,114134
2848.5,5697,11394,56970,113940
2870.45,5740.9,11481.8,57409,114818
2915.2,5830.4,11660.8,58304,116608
2912.7,5825.4,11650.8,58254,116508
2975.825,5951.65,11903.3,59516.5,119033
3074.2,6148.4,12296.8,61484,122968
3066.35,6132.7,12265.4,61327,122654
3154.45,6308.9,12617.8,63089,126178
3189.6,6379.2,12758.4,63792,127584
3236.075,6472.15,12944.3,64721.5,129443
3196.325,6392.65,12785.3,63926.5,127853
3185.3,6370.6,12741.2,63706,127412
3257.625,6515.25,13030.5,65152.5,130305
3225.25,6450.5,12901,64505,129010
3200.1,6400.2,12800.4,64002,128004
3138.675,6277.35,12554.7,62773.5,125547
3080.775,6161.55,12323.1,61615.5,123231
3093.725,6187.45,12374.9,61874.5,123749
3158.125,6316.25,12632.5,63162.5,126325
3151.1,6302.2,12604.4,63022,126044
3223.7,6447.4,12894.8,64474,128948
3216.15,6432.3,12864.6,64323,128646
3129.75,6259.5,12519,62595,125190
3151.375,6302.75,12605.5,63027.5,126055
3119.5,6239,12478,62390,124780
3156.75,6313.5,12627,63135,126270
3144.2,6288.4,12576.8,62884,125768
3226.675,6453.35,12906.7,64533.5,129067
3392.275,6784.55,13569.1,67845.5,135691
3417.225,6834.45,13668.9,68344.5,136689
3422.15,6844.3,13688.6,68443,136886
3441.05,6882.1,13764.2,68821,137642
3466.675,6933.35,13866.7,69333.5,138667
3442.575,6885.15,13770.3,68851.5,137703
3528.225,7056.45,14112.9,70564.5,141129
3512.875,7025.75,14051.5,70257.5,140515
3498.175,6996.35,13992.7,69963.5,139927
3519.525,7039.05,14078.1,70390.5,140781
3463.725,6927.45,13854.9,69274.5,138549
3410.5,6821,13642,68210,136420
3498.175,6996.35,13992.7,69963.5,139927
3548.775,7097.55,14195.1,70975.5,141951
3670.175,7340.35,14680.7,73403.5,146807
3748.025,7496.05,14992.1,74960.5,149921
3869.4,7738.8,15477.6,77388,154776
3827.525,7655.05,15310.1,76550.5,153101
3840.75,7681.5,15363,76815,153630
3866.7,7733.4,15466.8,77334,154668
3877.025,7754.05,15508.1,77540.5,155081
3911.3,7822.6,15645.2,78226,156452
3795.325,7590.65,15181.3,75906.5,151813
3855.525,7711.05,15422.1,77110.5,154221
3832.125,7664.25,15328.5,76642.5,153285
3822.75,7645.5,15291,76455,152910
3834.8,7669.6,15339.2,76696,153392
3806.575,7613.15,15226.3,76131.5,152263
