25897.275,51794.55,103589.1,517945.5,1035891,897.275,1794.55,3589.1,17945.5,35891
25931.075,51862.15,103724.3,518621.5,1037243,931.075,1862.15,3724.3,18621.5,37243
25998.3,51996.6,103993.2,519966,1039932,998.3,1996.6,3993.2,19966,39932
26001.5,52003,104006,520030,1040060,1001.5,2003,4006,20030,40060
25930.8,51861.6,103723.2,518616,1037232,930.8,1861.6,3723.2,18616,37232
25958.7,51917.4,103834.8,519174,1038348,958.7,1917.4,3834.8,19174,38348
25933.55,51867.1,103734.2,518671,1037342,933.55,1867.1,3734.2,18671,37342
25962.225,51924.45,103848.9,519244.5,1038489,962.225,1924.45,3848.9,19244.5,38489
26011.85,52023.7,104047.4,520237,1040474,1011.85,2023.7,4047.4,20237,40474
26126.95,52253.9,104507.8,522539,1045078,1126.95,2253.9,4507.8,22539,45078
26223.725,52447.45,104894.9,524474.5,1048949,1223.725,2447.45,4894.9,24474.5,48949
26313.6,52627.2,105254.4,526272,1052544,1313.6,2627.2,5254.4,26272,52544
26271.15,52542.3,105084.6,525423,1050846,1271.15,2542.3,5084.6,25423,50846
26228.95,52457.9,104915.8,524579,1049158,1228.95,2457.9,4915.8,24579,49158
26200.1,52400.2,104800.4,524002,1048004,1200.1,2400.2,4800.4,24002,48004
26252.475,52504.95,105009.9,525049.5,1050099,1252.475,2504.95,5009.9,25049.5,50099
26194.275,52388.55,104777.1,523885.5,1047771,1194.275,2388.55,4777.1,23885.5,47771
26228.325,52456.65,104913.3,524566.5,1049133,1228.325,2456.65,4913.3,24566.5,49133
26231.85,52463.7,104927.4,524637,1049274,1231.85,2463.7,4927.4,24637,49274
26299.15,52598.3,105196.6,525983,1051966,1299.15,2598.3,5196.6,25983,51966
26338.85,52677.7,105355.4,526777,1053554,1338.85,2677.7,5355.4,26777,53554
26310.55,52621.1,105242.2,526211,1052422,1310.55,2621.1,5242.2,26211,52422
26435.55,52871.1,105742.2,528711,1057422,1435.55,2871.1,5742.2,28711,57422
26449.65,52899.3,105798.6,528993,1057986,1449.65,2899.3,5798.6,28993,57986
26522.625,53045.25,106090.5,530452.5,1060905,1522.625,3045.25,6090.5,30452.5,60905
26443.6,52887.2,105774.4,528872,1057744,1443.6,2887.2,5774.4,28872,57744
26423.125,52846.25,105692.5,528462.5,1056925,1423.125,2846.25,5692.5,28462.5,56925
26452.775,52905.55,105811.1,529055.5,1058111,1452.775,2905.55,5811.1,29055.5,58111
26364.775,52729.55,105459.1,527295.5,1054591,1364.775,2729.55,5459.1,27295.5,54591
26268.325,52536.65,105073.3,525366.5,1050733,1268.325,2536.65,5073.3,25366.5,50733
26281.675,52563.35,105126.7,525633.5,1051267,1281.675,2563.35,5126.7,25633.5,51267
26203.05,52406.1,104812.2,524061,1048122,1203.05,2406.1,4812.2,24061,48122
26333.125,52666.25,105332.5,526662.5,1053325,1333.125,2666.25,5332.5,26662.5,53325
26327.45,52654.9,105309.8,526549,1053098,1327.45,2654.9,5309.8,26549,53098
26406.8,52813.6,105627.2,528136,1056272,1406.8,2813.6,5627.2,28136,56272
26438.725,52877.45,105754.9,528774.5,1057549,1438.725,2877.45,5754.9,28774.5,57549
26496.675,52993.35,105986.7,529933.5,1059867,1496.675,2993.35,5986.7,29933.5,59867
